area,infection
Barking and Dagenham,340
Barnet,630
Bexley,557
Brent,726
Bromley,765
Camden,221
Croydon,872
Ealing,756
Enfield,586
Greenwich,432
Hackney,260
Hammersmith and Fulham,302
Haringey,226
Harrow,666
Havering,468
Hillingdon,523
Hounslow,513
Islington,120
Kensington and Chelsea,149
Kingston upon Thames,436
Lambeth,489
Lewisham,486
Merton,423
Newham,477
Redbridge,584
Richmond upon Thames,189
Southwark,538
Sutton,563
Tower Hamlets,236
Waltham Forest,440
Wandsworth,363
Westminster,349
City of London,8
